dataset,instance,runs,best_lb_min,best_lb_mean,best_lb_median,best_lb_max,best_lb_std,lb_gain_mean,lb_gain_median,lb_gain_std,gap_mean,gap_median,baseline_repeats,baseline_has_lb_summary,baseline_best_lb_mean,delta_best_lb_vs_baseline,baseline_value_mean
BHOSLIB,frb30-15-1.clq,5,4,4.0,4,4,0.0,0.0,0,0.0,0.0,0.0,10,0,,,4
BHOSLIB,frb40-19-1.clq,5,3,3.0,3,3,0.0,0.0,0,0.0,0.6666666666666666,0.6666666666666666,10,0,,,5
BHOSLIB,frb50-23-3.clq,5,2,2.0,2,2,0.0,0.0,0,0.0,0.5,0.5,10,0,,,3
BHOSLIB,frb56-25-1.clq,5,1,1.0,1,1,0.0,0.0,0,0.0,2.0,2.0,10,0,,,3
BHOSLIB,frb56-25-4.clq,5,2,2.0,2,2,0.0,0.0,0,0.0,0.5,0.5,10,0,,,3
DIMACS,C4000.5.clq,5,3,3.0,3,3,0.0,0.0,0,0.0,2.0,2.0,10,0,,,9
DIMACS,DSJC500_5.clq,5,11,11.4,11,12,0.5477225575051661,0.4,0,0.5477225575051661,0.40606060606060607,0.45454545454545453,10,0,,,16
DIMACS,gen200_p0.9_55.clq,5,5,5.0,5,5,0.0,0.0,0,0.0,0.2,0.2,10,0,,,6
DIMACS,hamming6-2.clq,5,5,5.0,5,5,0.0,0.0,0,0.0,0.0,0.0,10,0,,,5
DIMACS,p_hat300-2.clq,5,29,29.0,29,29,0.0,0.0,0,0.0,0.06896551724137931,0.06896551724137931,10,0,,,31
DIMACS10,as-22july06.clq,5,166420,166420.0,166420,166420,0.0,0.0,0,0.0,0.0,0.0,10,0,,,166420
DIMACS10,eu-2005.clq,5,2779366,2779366.0,2779366,2779366,0.0,0.0,0,0.0,0.01844902758398858,0.015068184614764663,10,0,,,2812701
DIMACS10,in-2004.clq,5,7391437,7391437.0,7391437,7391437,0.0,0.0,0,0.0,0.009474828778219988,0.005095355612176631,10,0,,,7420561
DIMACS10,ldoor.clq,5,980060,980060.0,980060,980060,0.0,0.0,0,0.0,0.25712405362936963,0.25712405362936963,10,0,,,1125778.2
DIMACS10,uk-2002.clq,5,100062741,100064771.4,100062909,100068173,2722.2661148388856,0.0,0,0.0,0.009961696834697612,0.009991880993945589,5,0,,,97158097
NDR,inf-roadNet-CA.clq,5,46547673,46547673.0,46547673,46547673,0.0,0.0,0,0.0,0.18865452199941338,0.18865452199941338,10,0,,,52501465.6
NDR,sc-rel9.clq,5,6236434,6236434.0,6236434,6236434,0.0,0.0,0,0.0,1.2934322723530787,1.2934322723530787,10,0,,,12182910.7
NDR,tech-ip.clq,5,2094,2126.6,2137,2140,19.282116066448722,32.6,43,19.282116066448722,0.09649058253616424,0.09719626168224299,10,0,,,2281.4
NDR,web-it-2004.clq,5,2567317,2567317.0,2567317,2567317,0.0,0.0,0,0.0,0.00012191716098946878,0.00012191716098946878,10,0,,,2567569.4
NDR,wikipedia_link_en.clq,5,2408968440,2408968440.0,2408968440,2408968440,0.0,0.0,0,0.0,1.0253351430374074e-07,1.0253351430374073e-07,10,0,,,2408968634
SNAP,Amazon0302.clq,5,2264711,2264711.0,2264711,2264711,0.0,0.0,0,0.0,0.12591363754580606,0.12555995003335965,10,0,,,2408815.9
SNAP,Cit-HepTh.clq,5,213014,213014.0,213014,213014,0.0,0.0,0,0.0,0.007899011332588468,0.007769442384068652,10,0,,,214634.5
SNAP,Slashdot0902.clq,5,1142449,1142449.0,1142449,1142449,0.0,0.0,0,0.0,0.0005864594393272698,0.0005864594393272698,10,0,,,1143119
SNAP,Wiki-Vote.clq,5,86402,86402.0,86402,86402,0.0,0.0,0,0.0,0.0,0.0,10,0,,,86402
SNAP,p2p-Gnutella25.clq,5,377449,377449.0,377449,377449,0.0,0.0,0,0.0,0.0,0.0,10,0,,,377449
T1,T1_1000_1000_2.wclq,5,10251,10251.0,10251,10251,0.0,0.0,0,0.0,0.051916886157448064,0.051897375865769195,5,0,,,10783
T1,T1_100_100_2.wclq,5,1025,1026.8,1027,1028,1.0954451150103321,4.8,5,1.0954451150103321,0.011882495946264008,0.011684518013631937,5,0,,,1039
T1,T1_200_2000_8.wclq,5,237,238.4,238,242,2.073644135332772,40.4,40,2.073644135332772,0.7450710213994584,0.7478991596638656,5,0,,,416
T1,T1_200_250_7.wclq,5,1866,1871.2,1872,1874,3.1144823004794873,38.2,39,3.1144823004794877,0.03516689801640875,0.034722222222222224,5,0,,,1937
T1,T1_50_1000_0.wclq,5,28,28.0,28,28,0.0,0.0,0,0.0,0.42857142857142855,0.42857142857142855,5,0,,,40
T2,T2_1000_20000_9.wclq,5,6108,6129.2,6127,6147,15.706686474237651,786.2,784,15.706686474237651,0.1709583173189518,0.17137261302431858,5,0,,,7177
T2,T2_150_2000_1.wclq,5,519,522.4,523,526,2.6076809620810595,19.4,20,2.6076809620810595,0.14473950371827682,0.14340344168260039,5,0,,,598
T2,T2_250_2000_3.wclq,5,1062,1066.0,1067,1068,2.5495097567963922,63.0,64,2.5495097567963922,0.1097611846838292,0.10871602624179943,5,0,,,1183
T2,T2_250_250_8.wclq,5,306,306.0,306,306,0.0,0.0,0,0.0,0.0,0.0,5,0,,,306
T2,T2_50_1000_6.wclq,5,11,11.0,11,11,0.0,0.0,0,0.0,0.0,0.0,8,0,,,11
UDG,UDG_1000_200_8.wclq,5,38,38.0,38,38,0.0,0.0,0,0.0,0.07894736842105263,0.07894736842105263,10,0,,,41
UDG,UDG_100_200_1.wclq,5,210,210.0,210,210,0.0,0.0,0,0.0,0.0,0.0,10,0,,,210
UDG,UDG_500_150_3.wclq,5,162,162.0,162,162,0.0,0.0,0,0.0,0.0,0.0,10,0,,,162
UDG,UDG_50_150_0.wclq,5,462,462.0,462,462,0.0,0.0,0,0.0,0.0,0.0,10,0,,,462
UDG,UDG_800_200_8.wclq,5,39,39.0,39,39,0.0,0.0,0,0.0,0.0,0.0,10,0,,,39
