candidate,solver,family,arm,rows,valid_rows,parse_failures,nonzero_exits,avg_best_lb,avg_lb_gain,avg_gap,avg_ub_gain,avg_rounds,opt_count,slope_accepts,slope_rejects,guard_reasons
v006,deep-v6,BHOSLIB,dbs_only,8,8,0,0,2.25,0.125,1.125,0.0,14.75,1,0,0,dbs_mode:1;structure:7
v006,deep-v6,BHOSLIB,heavy_probe,2,2,0,0,3.0,0.0,0.5,0.0,9.0,1,0,0,structure:1
v006,deep-v6,BHOSLIB,light_probe,9,9,0,0,2.7777777777777777,0.2222222222222222,0.8888888888888888,0.0,13.444444444444445,2,0,0,structure:7
v006,deep-v6,BHOSLIB,rollback_probe,5,5,0,0,2.0,0.2,1.4,0.0,16.4,0,0,0,structure:5
v006,deep-v6,BHOSLIB,standard_probe,6,6,0,0,3.1666666666666665,0.3333333333333333,0.8333333333333334,0.0,11.833333333333334,2,0,0,structure:4
v006,deep-v6,DIMACS,dbs_only,4,4,0,0,20.0,0.0,3.5,0.0,25.0,0,0,0,structure:4
v006,deep-v6,DIMACS,heavy_probe,5,5,0,0,14.2,0.0,2.2,0.0,20.4,1,0,0,structure:4
v006,deep-v6,DIMACS,light_probe,7,7,0,0,7.857142857142857,0.0,2.4285714285714284,0.0,22.142857142857142,1,0,0,structure:6
v006,deep-v6,DIMACS,rollback_probe,9,9,0,0,8.777777777777779,0.0,2.2222222222222223,0.0,17.11111111111111,3,0,0,structure:6
v006,deep-v6,DIMACS,standard_probe,5,5,0,0,6.6,0.0,4.4,0.0,8.6,1,0,0,structure:4
v006,deep-v6,T1,dbs_only,6,6,0,0,2425.5,17.833333333333332,115.66666666666667,122.0,79.0,0,0,0,structure:6
v006,deep-v6,T1,heavy_probe,6,6,0,0,2285.6666666666665,14.833333333333334,105.83333333333333,112.33333333333333,77.83333333333333,0,0,0,structure:6
v006,deep-v6,T1,light_probe,8,8,0,0,3236.5,34.875,132.5,170.625,66.125,0,0,0,structure:8
v006,deep-v6,T1,rollback_probe,4,4,0,0,5198.75,25.75,208.75,283.5,63.25,0,0,0,structure:4
v006,deep-v6,T1,standard_probe,6,6,0,0,1050.3333333333333,27.333333333333332,126.16666666666667,62.0,54.0,0,0,0,structure:6
v006,deep-v6,T2,dbs_only,5,5,0,0,1792.8,161.2,296.6,117.6,33.0,1,0,0,dbs_mode:1;structure:4
v006,deep-v6,T2,heavy_probe,7,7,0,0,1113.142857142857,87.42857142857143,215.28571428571428,72.28571428571429,25.857142857142858,3,0,0,structure:4
v006,deep-v6,T2,light_probe,7,7,0,0,1931.2857142857142,170.85714285714286,378.85714285714283,150.42857142857142,13.142857142857142,4,0,0,structure:3
v006,deep-v6,T2,rollback_probe,7,7,0,0,1310.0,99.28571428571429,227.71428571428572,84.0,24.0,3,0,0,structure:4
v006,deep-v6,T2,standard_probe,4,4,0,0,1877.75,162.75,364.5,136.75,29.75,1,0,0,structure:3
v006,deep-v6,UDG,dbs_only,9,9,0,0,184.55555555555554,0.0,0.3333333333333333,0.0,3.3333333333333335,8,0,0,dbs_mode:8;structure:1
v006,deep-v6,UDG,heavy_probe,5,5,0,0,157.2,0.0,1.8,0.0,14.2,2,0,0,structure:3
v006,deep-v6,UDG,light_probe,8,8,0,0,181.375,0.0,0.375,0.0,3.625,7,0,0,structure:1
v006,deep-v6,UDG,rollback_probe,5,5,0,0,146.8,0.0,0.6,0.0,5.2,4,0,0,structure:1
v006,deep-v6,UDG,standard_probe,3,3,0,0,278.0,0.0,0.0,0.0,1.0,3,0,0,
v006,fast-v19,BHOSLIB,dbs_only,9,9,0,0,3.3333333333333335,0.3333333333333333,0.6666666666666666,0.0,10.666666666666666,3,0,0,dbs_mode:9
v006,fast-v19,BHOSLIB,heavy_probe,6,6,0,0,1.5,0.0,1.5,0.0,14.0,0,0,0,no_early_lb_gain:6
v006,fast-v19,BHOSLIB,light_probe,3,3,0,0,2.3333333333333335,0.3333333333333333,1.3333333333333333,0.0,15.666666666666666,0,0,0,no_early_lb_gain:3
v006,fast-v19,BHOSLIB,rollback_probe,7,7,0,0,2.7142857142857144,0.0,0.7142857142857143,0.0,8.714285714285714,3,0,0,no_early_lb_gain:4
v006,fast-v19,BHOSLIB,standard_probe,5,5,0,0,2.6,0.4,1.2,0.0,16.2,0,0,0,no_early_lb_gain:5
v006,fast-v19,DIMACS,dbs_only,3,3,0,0,4.333333333333333,0.0,2.3333333333333335,0.0,16.0,1,0,0,dbs_mode:3
v006,fast-v19,DIMACS,heavy_probe,6,6,0,0,13.0,0.0,1.0,0.0,24.0,2,0,0,no_early_lb_gain:4
v006,fast-v19,DIMACS,light_probe,10,10,0,0,11.8,0.0,3.7,0.0,18.4,1,0,0,no_early_lb_gain:7
v006,fast-v19,DIMACS,rollback_probe,4,4,0,0,18.5,0.0,2.25,0.0,18.5,1,0,0,no_early_lb_gain:3
v006,fast-v19,DIMACS,standard_probe,7,7,0,0,5.0,0.0,3.5714285714285716,0.0,16.571428571428573,1,0,0,no_early_lb_gain:3
v006,fast-v19,T1,dbs_only,5,5,0,0,4549.2,0.4,264.0,272.6,62.2,0,0,0,dbs_mode:5
v006,fast-v19,T1,heavy_probe,5,5,0,0,2312.0,6.6,151.6,141.4,76.0,0,0,0,no_early_lb_gain:5
v006,fast-v19,T1,light_probe,8,8,0,0,2283.875,11.75,189.0,133.625,50.5,0,0,0,no_early_lb_gain:8
v006,fast-v19,T1,rollback_probe,7,7,0,0,3890.714285714286,0.14285714285714285,189.85714285714286,212.14285714285714,73.57142857142857,0,0,0,no_early_lb_gain:7
v006,fast-v19,T1,standard_probe,5,5,0,0,68.0,6.0,47.2,9.0,90.6,0,0,0,no_early_lb_gain:5
v006,fast-v19,T2,dbs_only,7,7,0,0,1604.7142857142858,0.0,537.5714285714286,144.57142857142858,11.285714285714286,4,0,0,dbs_mode:7
v006,fast-v19,T2,heavy_probe,7,7,0,0,1419.5714285714287,110.42857142857143,243.71428571428572,84.0,33.42857142857143,1,0,0,no_early_lb_gain:6
v006,fast-v19,T2,light_probe,3,3,0,0,2545.0,262.0,441.0,182.33333333333334,32.0,0,1,0,no_early_lb_gain:2
v006,fast-v19,T2,rollback_probe,8,8,0,0,1824.25,97.0,418.375,136.75,20.625,3,0,0,no_early_lb_gain:5
v006,fast-v19,T2,standard_probe,5,5,0,0,386.4,0.0,36.0,8.2,8.6,4,0,0,no_early_lb_gain:1
v006,fast-v19,UDG,dbs_only,9,9,0,0,165.33333333333334,0.0,1.0,0.0,7.0,6,0,0,dbs_mode:9
v006,fast-v19,UDG,heavy_probe,5,5,0,0,156.4,0.0,0.6,0.0,4.2,4,0,0,no_early_lb_gain:1
v006,fast-v19,UDG,light_probe,5,5,0,0,131.8,0.0,0.6,0.0,4.2,4,0,0,no_early_lb_gain:1
v006,fast-v19,UDG,rollback_probe,7,7,0,0,340.2857142857143,0.0,0.0,0.0,1.0,7,0,0,
v006,fast-v19,UDG,standard_probe,4,4,0,0,38.75,0.0,0.75,0.0,5.0,3,0,0,no_early_lb_gain:1
