candidate,solver,family,rows,lb_wins,lb_ties,lb_losses,total_delta_lb,ub_wins,ub_ties,ub_losses,total_delta_ub,max_ub_regression,gap_wins,gap_ties,gap_losses,total_delta_gap,total_delta_opt
v007,deep-v6,BHOSLIB,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v007,deep-v6,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v007,deep-v6,DIMACS10,12,1,6,5,-1256,0,12,0,0,0,1,6,5,1256,0
v007,deep-v6,SNAP,15,2,10,3,-11570,4,8,3,-1549,14,4,6,5,10021,0
v007,deep-v6,T1,15,7,5,3,34,2,13,0,-9,0,7,5,3,-43,0
v007,deep-v6,T2,15,3,7,5,-144,0,15,0,0,0,3,7,5,144,0
v007,deep-v6,UDG,15,0,14,1,-1,0,15,0,0,0,0,14,1,1,0
v007,fast-v19,BHOSLIB,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v007,fast-v19,DIMACS,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
v007,fast-v19,DIMACS10,14,1,11,2,-1253,2,8,4,311603,105760,2,6,6,312856,0
v007,fast-v19,SNAP,15,0,15,0,0,1,11,3,234799,183600,1,11,3,234799,0
v007,fast-v19,T1,15,5,10,0,98,1,14,0,-3,0,6,9,0,-101,0
v007,fast-v19,T2,15,6,9,0,2325,0,15,0,0,0,6,9,0,-2325,0
v007,fast-v19,UDG,15,0,15,0,0,0,15,0,0,0,0,15,0,0,0
